Week,Tier,#,Player 1,Player 2,Date,Completed by,Game,Goal,Source goal,Time (mins),Completed at (mins into match),Order,Square type,Start VOD link,End VOD link,Match link,Created unixtime
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,General,Defeat 2 bosses in 4 games on this card,Defeat 2 bosses in 4 games on this card,,,,Diagonal,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Bushido Ball,BUSHIDO BALL: Win a 16-point match on Hyper speed (laws on),BUSHIDO BALL: Win a 16-point match on Hyper speed (laws on),3.9,90,14,Other,https://youtu.be/t6kRJh3axiM?t=5504,https://youtu.be/t6kRJh3axiM?t=5741,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Combatants,COMBATANTS: ANTS-ANTS allowed; beat Ambush & Open Field,COMBATANTS: ANTS-ANTS allowed; beat Ambush & Open Field,4.9,43,8,Other,https://youtu.be/t6kRJh3axiM?t=2627,https://youtu.be/t6kRJh3axiM?t=2918,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Bug Hunter,BUG HUNTER: Get 4 pit Kills in one job,BUG HUNTER: Get 4 pit Kills in one job,5.9,10.8,2,Other,https://youtu.be/t6kRJh3axiM?t=634,https://youtu.be/t6kRJh3axiM?t=988,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,Breakfast,Campanella 2,CAMPANELLA 2: Obtain the Friendship Bracelet,CAMPANELLA 2: Obtain the Friendship Bracelet,5.3,20.5,4,Diagonal,https://youtu.be/t6kRJh3axiM?t=1255,https://youtu.be/t6kRJh3axiM?t=1571,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,Onion Delivery,ONION DELIVERY: Gold disk,ONION DELIVERY: Gold disk,,,,Other,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Rail Heist,RAIL HEIST: LAZY-COPS allowed; beat Root Around while destroying every barrel,RAIL HEIST: LAZY-COPS allowed; beat Root Around while destroying every barrel,9.3,99.3,15,Diagonal,https://youtu.be/t6kRJh3axiM?t=5741,https://youtu.be/t6kRJh3axiM?t=6301,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,Breakfast,Porgy,PORGY: Collect 4 torpedo upgrades,PORGY: Collect 4 torpedo upgrades,10.8,31.3,5,Other,https://youtu.be/t6kRJh3axiM?t=1571,https://youtu.be/t6kRJh3axiM?t=2219,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,General,Beat 4 levels in 5 games on this card,Beat 4 levels in 5 games on this card,7.1,70.1,12,Diagonal,https://youtu.be/t6kRJh3axiM?t=4125,https://youtu.be/t6kRJh3axiM?t=4549,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,Devilition,"DEVILITION: Beat 5 rounds in a run, destroying all demons and humans each round","DEVILITION: Beat 5 rounds in a run, destroying all demons and humans each round",,,,Other,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
